Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total
4293-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-09-04,$156.50,$300.97,$144.47,23.0,"$4,533.52",0.02,$194.83,"$4,757.22",$7.18,"$4,291.55"
5001-1,2015-10-24,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,2015-10-26,$0.24,$1.26,$1.02,8.0,$45.20,0.03,$0.00,$45.90,$0.70,$46.91
5004-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,2014-03-13,$42.11,$80.98,$38.87,45.0,$873.32,0.04,$72.23,$837.57,$7.18,$82.58
5009-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,2013-02-20,$5.33,$8.60,$3.27,16.0,$73.52,0.01,$4.35,$740.67,$6.19,$730.92
5010-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,2014-09-17,$1.53,$2.78,$1.25,49.0,$138.46,0.07,$5.95,$123.77,$1.34,$125.97
5011-1,2013-11-24,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,2013-11-26,$4.59,$7.28,$2.69,45.0,$197.36,0.08,$12.98,$183.58,$11.15,$189.43
5012-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,2014-09-07,$1.60,$2.62,$1.02,45.0,$65.50,0.04,$5.90,$59.62,$0.80,$60.45
5012-1,2015-01-28,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,2015-01-29,$1.60,$2.62,$1.02,34.0,$24.92,0.02,$2.49,$22.43,$0.80,$27.43
5014-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,2014-06-10,$3.99,$6.23,$2.24,25.0,$194.36,0.1,$15.93,$178.12,$6.97,$189.45
5015-1,2014-10-02,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,2014-10-04,$156.50,$300.97,$144.47,42.0,"$1,079.62",0.04,$30.83,"$1,753.33",$7.18,"$1,705.42"
